Truncated,Nbuf,NBXc,Cond1,Cond2,Cond3,Cond4
0,27,18,0,0,0,1
1,39,20,1,0,0,0
1,34,21,1,0,0,0
1,29,20,1,0,0,0
0,24,18,0,0,0,1
1,36,18,1,0,0,0
0,31,16,0,0,0,1
1,41,18,1,0,0,0
1,36,19,1,0,0,0
0,31,17,0,0,0,1
1,42,19,1,0,0,0
1,37,18,1,0,0,0
1,32,17,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,15,0,0,0,1
1,38,21,1,0,0,0
1,33,18,1,0,0,0
0,28,18,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,22,0,0,0,1
1,41,19,1,0,0,0
1,36,16,1,0,0,0
1,31,20,1,0,0,0
0,26,18,0,0,0,1
1,38,21,1,0,0,0
1,33,17,1,0,0,0
0,28,20,0,0,0,1
1,42,15,1,0,0,0
1,37,19,1,0,0,0
0,32,16,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,19,1,0,0,0
0,27,21,0,0,0,1
1,42,18,1,0,0,0
1,37,17,1,0,0,0
0,32,16,0,0,0,1
1,42,19,1,0,0,0
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,17,1,0,0,0
0,29,19,0,0,0,1
1,42,18,1,0,0,0
1,37,20,1,0,0,0
0,32,16,0,0,0,1
1,42,17,1,0,0,0
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,17,1,0,0,0
1,29,21,1,0,0,0
0,24,19,0,0,0,1
1,37,18,1,0,0,0
1,32,21,1,0,0,0
0,27,16,0,0,0,1
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,19,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,21,1,0,0,0
1,36,18,1,0,0,0
0,31,17,0,0,0,1
1,42,20,1,0,0,0
1,37,17,1,0,0,0
1,32,19,1,0,0,0
0,27,20,0,0,0,1
1,41,18,1,0,0,0
1,36,19,1,0,0,0
0,31,17,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,20,1,0,0,0
0,27,16,0,0,0,1
1,37,21,1,0,0,0
1,32,18,1,0,0,0
0,27,17,0,0,0,1
1,38,18,1,0,0,0
1,33,18,1,0,0,0
0,28,19,0,0,0,1
1,41,19,1,0,0,0
1,36,20,1,0,0,0
1,31,21,1,0,0,0
0,26,20,0,0,0,1
1,40,18,1,0,0,0
1,35,17,1,0,0,0
0,30,18,0,0,0,1
1,42,20,1,0,0,0
1,37,19,1,0,0,0
0,32,16,0,0,0,1
1,42,22,1,0,0,0
1,37,17,1,0,0,0
0,32,16,0,0,0,1
1,42,20,1,0,0,0
1,37,19,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,19,1,0,0,0
1,36,18,1,0,0,0
1,31,19,1,0,0,0
0,26,19,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,19,0,0,0,1
1,42,17,1,0,0,0
1,37,19,1,0,0,0
1,32,18,1,0,0,0
0,27,19,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
1,30,21,1,0,0,0
0,25,16,0,0,0,1
1,35,17,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,17,1,0,0,0
0,27,18,0,0,0,1
1,39,19,1,0,0,0
1,34,16,1,0,0,0
0,29,18,0,0,0,1
1,41,19,1,0,0,0
1,36,19,1,0,0,0
1,31,18,1,0,0,0
0,26,19,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,17,1,0,0,0
1,36,20,1,0,0,0
0,31,17,0,0,0,1
1,42,18,1,0,0,0
1,37,21,1,0,0,0
1,32,17,1,0,0,0
0,27,19,0,0,0,1
1,40,21,1,0,0,0
1,35,20,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,17,1,0,0,0
1,32,19,1,0,0,0
0,27,17,0,0,0,1
1,38,18,1,0,0,0
1,33,18,1,0,0,0
0,28,18,0,0,0,1
1,40,19,1,0,0,0
1,35,17,1,0,0,0
0,30,17,0,0,0,1
1,41,19,1,0,0,0
1,36,19,1,0,0,0
1,31,18,1,0,0,0
0,26,21,0,0,0,1
1,41,18,1,0,0,0
1,36,19,1,0,0,0
0,31,17,0,0,0,1
1,42,18,1,0,0,0
1,37,15,1,0,0,0
1,32,21,1,0,0,0
0,27,18,0,0,0,1
1,39,19,1,0,0,0
1,34,18,1,0,0,0
1,29,21,1,0,0,0
0,24,22,0,0,0,1
1,40,17,1,0,0,0
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,18,0,0,0,1
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,19,0,0,0,1
1,40,17,1,0,0,0
1,35,18,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,17,1,0,0,0
1,32,18,1,0,0,0
0,27,19,0,0,0,1
1,40,20,1,0,0,0
1,35,18,1,0,0,0
0,30,16,0,0,0,1
1,40,20,1,0,0,0
1,35,19,1,0,0,0
1,30,21,1,0,0,0
0,25,16,0,0,0,1
1,35,18,1,0,0,0
0,30,18,0,0,0,1
1,42,17,1,0,0,0
1,37,16,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,19,1,0,0,0
1,34,19,1,0,0,0
0,29,16,0,0,0,1
1,39,17,1,0,0,0
1,34,17,1,0,0,0
1,29,22,1,0,0,0
0,24,21,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
0,29,16,0,0,0,1
1,39,19,1,0,0,0
1,34,18,1,0,0,0
0,29,18,0,0,0,1
1,41,19,1,0,0,0
1,36,18,1,0,0,0
1,31,19,1,0,0,0
0,26,18,0,0,0,1
1,38,19,1,0,0,0
1,33,19,1,0,0,0
0,28,19,0,0,0,1
1,41,20,1,0,0,0
1,36,18,1,0,0,0
1,31,18,1,0,0,0
0,26,17,0,0,0,1
1,37,19,1,0,0,0
1,32,18,1,0,0,0
0,27,17,0,0,0,1
1,38,16,1,0,0,0
1,33,16,1,0,0,0
1,28,21,1,0,0,0
0,23,18,0,0,0,1
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,21,0,0,0,1
1,40,18,1,0,0,0
1,35,17,1,0,0,0
0,30,16,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,15,0,0,0,1
1,34,17,1,0,0,0
0,29,17,0,0,0,1
1,40,19,1,0,0,0
1,35,15,1,0,0,0
1,30,21,1,0,0,0
0,25,18,0,0,0,1
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,20,1,0,0,0
1,36,17,1,0,0,0
1,31,18,1,0,0,0
0,26,17,0,0,0,1
1,37,19,1,0,0,0
1,32,19,1,0,0,0
0,27,19,0,0,0,1
1,40,21,1,0,0,0
1,35,21,1,0,0,0
0,30,18,0,0,0,1
1,42,21,1,0,0,0
1,37,17,1,0,0,0
0,32,16,0,0,0,1
1,42,19,1,0,0,0
1,37,18,1,0,0,0
1,32,19,1,0,0,0
0,27,19,0,0,0,1
1,40,19,1,0,0,0
1,35,17,1,0,0,0
1,30,19,1,0,0,0
0,25,17,0,0,0,1
1,36,19,1,0,0,0
1,31,21,1,0,0,0
0,26,20,0,0,0,1
1,40,18,1,0,0,0
1,35,19,1,0,0,0
1,30,20,1,0,0,0
0,25,20,0,0,0,1
1,39,20,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,20,1,0,0,0
1,36,15,1,0,0,0
1,31,18,1,0,0,0
0,26,18,0,0,0,1
1,38,17,1,0,0,0
1,33,18,1,0,0,0
0,28,16,0,0,0,1
1,38,20,1,0,0,0
1,33,18,1,0,0,0
0,28,18,0,0,0,1
1,40,19,1,0,0,0
1,35,21,1,0,0,0
0,30,18,0,0,0,1
1,42,19,1,0,0,0
1,37,18,1,0,0,0
1,32,20,1,0,0,0
0,27,20,0,0,0,1
1,41,18,1,0,0,0
1,36,17,1,0,0,0
1,31,21,1,0,0,0
0,26,16,0,0,0,1
1,36,19,1,0,0,0
1,31,18,1,0,0,0
0,26,18,0,0,0,1
1,38,19,1,0,0,0
1,33,18,1,0,0,0
0,28,18,0,0,0,1
1,40,17,1,0,0,0
1,35,19,1,0,0,0
0,30,18,0,0,0,1
1,42,20,1,0,0,0
1,37,19,1,0,0,0
1,32,19,1,0,0,0
0,27,19,0,0,0,1
1,40,19,1,0,0,0
1,35,18,1,0,0,0
1,30,19,1,0,0,0
0,25,21,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
0,30,17,0,0,0,1
1,41,19,1,0,0,0
1,36,19,1,0,0,0
1,31,20,1,0,0,0
0,26,20,0,0,0,1
1,40,17,1,0,0,0
1,35,18,1,0,0,0
0,30,16,0,0,0,1
1,40,18,1,0,0,0
1,35,17,1,0,0,0
1,30,21,1,0,0,0
0,25,18,0,0,0,1
1,37,18,1,0,0,0
0,32,16,0,0,0,1
1,42,18,1,0,0,0
1,37,21,1,0,0,0
1,32,21,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,17,1,0,0,0
1,29,20,1,0,0,0
0,24,19,0,0,0,1
1,37,19,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,20,1,0,0,0
0,29,15,0,0,0,1
1,38,20,1,0,0,0
1,33,21,1,0,0,0
1,28,22,1,0,0,0
0,23,19,0,0,0,1
1,36,20,1,0,0,0
1,31,20,1,0,0,0
0,26,17,0,0,0,1
1,37,21,1,0,0,0
1,32,17,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
0,29,17,0,0,0,1
1,40,20,1,0,0,0
1,35,22,1,0,0,0
0,30,17,0,0,0,1
1,41,19,1,0,0,0
1,36,17,1,0,0,0
1,31,18,1,0,0,0
0,26,19,0,0,0,1
1,39,17,1,0,0,0
1,34,19,1,0,0,0
0,29,14,0,0,0,1
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,20,1,0,0,0
1,36,20,1,0,0,0
1,31,19,1,0,0,0
0,26,17,0,0,0,1
1,37,20,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,18,1,0,0,0
1,36,18,1,0,0,0
1,31,18,1,0,0,0
0,26,19,0,0,0,1
1,39,17,1,0,0,0
1,34,20,1,0,0,0
0,29,17,0,0,0,1
1,40,17,1,0,0,0
1,35,19,1,0,0,0
0,30,18,0,0,0,1
1,42,16,1,0,0,0
1,37,20,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,18,1,0,0,0
1,36,17,1,0,0,0
0,31,17,0,0,0,1
1,42,19,1,0,0,0
1,37,19,1,0,0,0
1,32,19,1,0,0,0
0,27,20,0,0,0,1
1,41,17,1,0,0,0
1,36,18,1,0,0,0
1,31,19,1,0,0,0
0,26,20,0,0,0,1
1,40,17,1,0,0,0
1,35,18,1,0,0,0
0,30,15,0,0,0,1
1,39,19,1,0,0,0
1,34,19,1,0,0,0
0,29,19,0,0,0,1
1,42,19,1,0,0,0
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,19,1,0,0,0
1,36,19,1,0,0,0
0,31,17,0,0,0,1
1,42,18,1,0,0,0
1,37,16,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,19,1,0,0,0
1,34,17,1,0,0,0
0,29,17,0,0,0,1
1,40,18,1,0,0,0
1,35,16,1,0,0,0
1,30,20,1,0,0,0
0,25,21,0,0,0,1
1,40,18,1,0,0,0
1,35,20,1,0,0,0
0,30,18,0,0,0,1
1,42,20,1,0,0,0
1,37,19,1,0,0,0
0,32,16,0,0,0,1
1,42,19,1,0,0,0
1,37,16,1,0,0,0
1,32,20,1,0,0,0
0,27,19,0,0,0,1
1,40,19,1,0,0,0
1,35,18,1,0,0,0
1,30,19,1,0,0,0
0,25,18,0,0,0,1
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,21,1,0,0,0
0,29,18,0,0,0,1
1,41,16,1,0,0,0
1,36,18,1,0,0,0
1,31,18,1,0,0,0
0,26,20,0,0,0,1
1,40,16,1,0,0,0
1,35,17,1,0,0,0
1,30,20,1,0,0,0
0,25,21,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,17,0,0,0,1
1,36,19,1,0,0,0
1,31,21,1,0,0,0
0,26,18,0,0,0,1
1,38,16,1,0,0,0
1,33,18,1,0,0,0
0,28,17,0,0,0,1
1,39,16,1,0,0,0
1,34,17,1,0,0,0
0,29,19,0,0,0,1
1,42,19,1,0,0,0
1,37,20,1,0,0,0
1,32,18,1,0,0,0
1,27,22,1,0,0,0
0,22,20,0,0,0,1
1,36,17,1,0,0,0
0,31,17,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,20,1,0,0,0
1,34,16,1,0,0,0
1,29,20,1,0,0,0
0,24,19,0,0,0,1
1,37,18,1,0,0,0
1,32,19,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,20,1,0,0,0
0,29,19,0,0,0,1
1,42,18,1,0,0,0
1,37,18,1,0,0,0
1,32,19,1,0,0,0
0,27,19,0,0,0,1
1,40,16,1,0,0,0
1,35,21,1,0,0,0
1,30,20,1,0,0,0
0,25,16,0,0,0,1
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,17,0,0,0,1
1,36,19,1,0,0,0
1,31,18,1,0,0,0
0,26,18,0,0,0,1
1,38,18,1,0,0,0
1,33,18,1,0,0,0
0,28,20,0,0,0,1
1,42,20,1,0,0,0
1,37,20,1,0,0,0
1,32,19,1,0,0,0
0,27,20,0,0,0,1
1,41,17,1,0,0,0
1,36,18,1,0,0,0
1,31,20,1,0,0,0
0,26,17,0,0,0,1
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,17,0,0,0,1
1,38,19,1,0,0,0
1,33,18,1,0,0,0
0,28,19,0,0,0,1
1,41,21,1,0,0,0
1,36,17,1,0,0,0
1,31,20,1,0,0,0
0,26,20,0,0,0,1
1,40,16,1,0,0,0
1,35,18,1,0,0,0
1,30,19,1,0,0,0
0,25,20,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
0,29,18,0,0,0,1
1,41,18,1,0,0,0
1,36,19,1,0,0,0
1,31,20,1,0,0,0
0,26,17,0,0,0,1
1,37,19,1,0,0,0
1,32,20,1,0,0,0
0,27,17,0,0,0,1
1,38,19,1,0,0,0
1,33,17,1,0,0,0
1,28,22,1,0,0,0
0,23,17,0,0,0,1
1,34,18,1,0,0,0
0,29,18,0,0,0,1
1,41,20,1,0,0,0
1,36,17,1,0,0,0
1,31,18,1,0,0,0
0,26,19,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
1,29,22,1,0,0,0
0,24,17,0,0,0,1
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,18,0,0,0,1
1,37,17,1,0,0,0
1,32,18,1,0,0,0
0,27,19,0,0,0,1
1,40,17,1,0,0,0
1,35,17,1,0,0,0
0,30,18,0,0,0,1
1,42,19,1,0,0,0
1,37,17,1,0,0,0
1,32,17,1,0,0,0
0,27,19,0,0,0,1
1,40,20,1,0,0,0
1,35,20,1,0,0,0
1,30,19,1,0,0,0
0,25,21,0,0,0,1
1,40,21,1,0,0,0
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,20,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,21,1,0,0,0
1,36,19,1,0,0,0
1,31,18,1,0,0,0
0,26,20,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,18,0,0,0,1
1,37,22,1,0,0,0
1,32,17,1,0,0,0
0,27,17,0,0,0,1
1,38,19,1,0,0,0
1,33,20,1,0,0,0
0,28,19,0,0,0,1
1,41,15,1,0,0,0
1,36,20,1,0,0,0
1,31,18,1,0,0,0
0,26,15,0,0,0,1
1,35,19,1,0,0,0
0,30,18,0,0,0,1
1,42,22,1,0,0,0
1,37,18,1,0,0,0
0,32,15,0,0,0,1
1,41,21,1,0,0,0
1,36,18,1,0,0,0
1,31,20,1,0,0,0
0,26,18,0,0,0,1
1,38,19,1,0,0,0
1,33,18,1,0,0,0
1,28,22,1,0,0,0
0,23,16,0,0,0,1
1,33,16,1,0,0,0
0,28,20,0,0,0,1
1,42,17,1,0,0,0
1,37,17,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,19,0,0,0,1
1,42,18,1,0,0,0
1,37,21,1,0,0,0
1,32,19,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,18,1,0,0,0
1,36,18,1,0,0,0
1,31,18,1,0,0,0
0,26,18,0,0,0,1
1,38,20,1,0,0,0
1,33,18,1,0,0,0
0,28,19,0,0,0,1
1,41,19,1,0,0,0
1,36,18,1,0,0,0
0,31,17,0,0,0,1
1,42,18,1,0,0,0
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,19,1,0,0,0
1,36,15,1,0,0,0
1,31,20,1,0,0,0
0,26,19,0,0,0,1
1,39,16,1,0,0,0
1,34,20,1,0,0,0
0,29,17,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
0,30,18,0,0,0,1
1,42,20,1,0,0,0
1,37,19,1,0,0,0
1,32,19,1,0,0,0
0,27,18,0,0,0,1
1,39,22,1,0,0,0
1,34,20,1,0,0,0
0,29,18,0,0,0,1
1,41,18,1,0,0,0
1,36,15,1,0,0,0
1,31,18,1,0,0,0
0,26,20,0,0,0,1
1,40,17,1,0,0,0
1,35,20,1,0,0,0
1,30,19,1,0,0,0
0,25,18,0,0,0,1
1,37,20,1,0,0,0
0,32,16,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,17,1,0,0,0
0,27,20,0,0,0,1
1,41,17,1,0,0,0
1,36,15,1,0,0,0
1,31,18,1,0,0,0
0,26,16,0,0,0,1
1,36,17,1,0,0,0
0,31,17,0,0,0,1
1,42,17,1,0,0,0
1,37,18,1,0,0,0
0,32,16,0,0,0,1
1,42,18,1,0,0,0
1,37,17,1,0,0,0
1,32,20,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,18,1,0,0,0
1,36,18,1,0,0,0
1,31,20,1,0,0,0
0,26,19,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
0,29,18,0,0,0,1
1,41,20,1,0,0,0
1,36,19,1,0,0,0
1,31,20,1,0,0,0
0,26,17,0,0,0,1
1,37,20,1,0,0,0
1,32,18,1,0,0,0
0,27,16,0,0,0,1
1,37,17,1,0,0,0
1,32,18,1,0,0,0
0,27,21,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,18,1,0,0,0
1,36,17,1,0,0,0
0,31,15,0,0,0,1
1,40,19,1,0,0,0
1,35,18,1,0,0,0
0,30,17,0,0,0,1
1,41,19,1,0,0,0
1,36,19,1,0,0,0
1,31,19,1,0,0,0
0,26,18,0,0,0,1
1,38,18,1,0,0,0
1,33,19,1,0,0,0
0,28,18,0,0,0,1
1,40,20,1,0,0,0
1,35,17,1,0,0,0
0,30,18,0,0,0,1
1,42,16,1,0,0,0
1,37,22,1,0,0,0
1,32,19,1,0,0,0
0,27,20,0,0,0,1
1,41,18,1,0,0,0
1,36,17,1,0,0,0
1,31,19,1,0,0,0
0,26,18,0,0,0,1
1,38,21,1,0,0,0
1,33,17,1,0,0,0
0,28,18,0,0,0,1
1,40,19,1,0,0,0
1,35,20,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,17,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,20,1,0,0,0
1,34,18,1,0,0,0
0,29,19,0,0,0,1
1,42,19,1,0,0,0
1,37,19,1,0,0,0
1,32,20,1,0,0,0
0,27,18,0,0,0,1
1,39,20,1,0,0,0
1,34,20,1,0,0,0
0,29,19,0,0,0,1
1,42,18,1,0,0,0
1,37,18,1,0,0,0
1,32,17,1,0,0,0
0,27,19,0,0,0,1
1,40,18,1,0,0,0
1,35,20,1,0,0,0
0,30,16,0,0,0,1
1,40,18,1,0,0,0
1,35,18,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,18,1,0,0,0
1,32,21,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,17,1,0,0,0
0,29,17,0,0,0,1
1,40,21,1,0,0,0
1,35,19,1,0,0,0
0,30,18,0,0,0,1
1,42,19,1,0,0,0
1,37,19,1,0,0,0
1,32,20,1,0,0,0
0,27,16,0,0,0,1
1,37,18,1,0,0,0
1,32,22,1,0,0,0
0,27,18,0,0,0,1
1,39,20,1,0,0,0
1,34,18,1,0,0,0
0,29,19,0,0,0,1
1,42,21,1,0,0,0
1,37,22,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,17,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,22,1,0,0,0
1,36,22,1,0,0,0
1,31,20,1,0,0,0
0,26,19,0,0,0,1
1,39,18,1,0,0,0
1,34,17,1,0,0,0
0,29,19,0,0,0,1
1,42,20,1,0,0,0
1,37,18,1,0,0,0
1,32,17,1,0,0,0
0,27,18,0,0,0,1
1,39,19,1,0,0,0
1,34,21,1,0,0,0
0,29,16,0,0,0,1
1,39,20,1,0,0,0
1,34,18,1,0,0,0
1,29,20,1,0,0,0
0,24,18,0,0,0,1
1,36,17,1,0,0,0
1,31,18,1,0,0,0
0,26,16,0,0,0,1
1,36,15,1,0,0,0
1,31,18,1,0,0,0
0,26,18,0,0,0,1
1,38,18,1,0,0,0
1,33,21,1,0,0,0
0,28,19,0,0,0,1
1,41,20,1,0,0,0
1,36,21,1,0,0,0
1,31,18,1,0,0,0
0,26,21,0,0,0,1
1,41,22,1,0,0,0
1,36,19,1,0,0,0
0,31,17,0,0,0,1
1,42,20,1,0,0,0
1,37,22,1,0,0,0
1,32,19,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
1,29,20,1,0,0,0
0,24,19,0,0,0,1
1,37,20,1,0,0,0
1,32,21,1,0,0,0
0,27,17,0,0,0,1
1,38,20,1,0,0,0
1,33,21,1,0,0,0
0,28,17,0,0,0,1
1,39,16,1,0,0,0
1,34,17,1,0,0,0
0,29,16,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
0,29,19,0,0,0,1
1,42,19,1,0,0,0
1,37,18,1,0,0,0
1,32,18,1,0,0,0
0,27,19,0,0,0,1
1,40,18,1,0,0,0
1,35,19,1,0,0,0
1,30,19,1,0,0,0
0,25,20,0,0,0,1
1,39,18,1,0,0,0
1,34,16,1,0,0,0
0,29,18,0,0,0,1
1,41,18,1,0,0,0
1,36,20,1,0,0,0
0,31,16,0,0,0,1
1,41,17,1,0,0,0
1,36,15,1,0,0,0
1,31,18,1,0,0,0
0,26,17,0,0,0,1
1,37,20,1,0,0,0
1,32,19,1,0,0,0
0,27,20,0,0,0,1
1,41,22,1,0,0,0
1,36,18,1,0,0,0
1,31,22,1,0,0,0
0,26,19,0,0,0,1
1,39,15,1,0,0,0
1,34,19,1,0,0,0
0,29,18,0,0,0,1
1,41,16,1,0,0,0
1,36,17,1,0,0,0
1,31,18,1,0,0,0
0,26,19,0,0,0,1
1,39,18,1,0,0,0
1,34,16,1,0,0,0
0,29,18,0,0,0,1
1,41,18,1,0,0,0
1,36,18,1,0,0,0
1,31,18,1,0,0,0
0,26,19,0,0,0,1
1,39,15,1,0,0,0
1,34,20,1,0,0,0
0,29,19,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,20,1,0,0,0
0,27,20,0,0,0,1
1,41,19,1,0,0,0
1,36,18,1,0,0,0
0,31,16,0,0,0,1
1,41,17,1,0,0,0
1,36,19,1,0,0,0
1,31,20,1,0,0,0
0,26,20,0,0,0,1
1,40,21,1,0,0,0
1,35,20,1,0,0,0
0,30,18,0,0,0,1
1,42,19,1,0,0,0
1,37,17,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,15,1,0,0,0
1,34,19,1,0,0,0
0,29,17,0,0,0,1
1,40,19,1,0,0,0
1,35,18,1,0,0,0
1,30,19,1,0,0,0
0,25,18,0,0,0,1
1,37,18,1,0,0,0
1,32,19,1,0,0,0
0,27,21,0,0,0,1
1,42,19,1,0,0,0
1,37,19,1,0,0,0
1,32,19,1,0,0,0
0,27,19,0,0,0,1
1,40,19,1,0,0,0
1,35,20,1,0,0,0
0,30,17,0,0,0,1
1,41,19,1,0,0,0
1,36,19,1,0,0,0
1,31,20,1,0,0,0
0,26,18,0,0,0,1
1,38,22,1,0,0,0
1,33,16,1,0,0,0
0,28,18,0,0,0,1
1,40,15,1,0,0,0
1,35,20,1,0,0,0
1,30,19,1,0,0,0
0,25,18,0,0,0,1
1,37,18,1,0,0,0
1,32,17,1,0,0,0
0,27,20,0,0,0,1
1,41,17,1,0,0,0
1,36,19,1,0,0,0
1,31,19,1,0,0,0
0,26,18,0,0,0,1
1,38,17,1,0,0,0
1,33,19,1,0,0,0
0,28,20,0,0,0,1
1,42,20,1,0,0,0
1,37,21,1,0,0,0
1,32,18,1,0,0,0
0,27,19,0,0,0,1
1,40,16,1,0,0,0
1,35,18,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,18,1,0,0,0
0,32,16,0,0,0,1
1,42,21,1,0,0,0
1,37,18,1,0,0,0
1,32,21,1,0,0,0
0,27,19,0,0,0,1
1,40,20,1,0,0,0
1,35,18,1,0,0,0
1,30,20,1,0,0,0
0,25,20,0,0,0,1
1,39,20,1,0,0,0
1,34,19,1,0,0,0
0,29,19,0,0,0,1
1,42,19,1,0,0,0
1,37,19,1,0,0,0
0,32,16,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,20,1,0,0,0
0,27,19,0,0,0,1
1,40,18,1,0,0,0
1,35,19,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,20,1,0,0,0
1,32,18,1,0,0,0
0,27,20,0,0,0,1
1,41,18,1,0,0,0
1,36,20,1,0,0,0
1,31,18,1,0,0,0
0,26,16,0,0,0,1
1,36,17,1,0,0,0
1,31,20,1,0,0,0
0,26,22,0,0,0,1
1,42,18,1,0,0,0
1,37,19,1,0,0,0
1,32,18,1,0,0,0
0,27,18,0,0,0,1
1,39,18,1,0,0,0
1,34,18,1,0,0,0
0,29,17,0,0,0,1
1,40,19,1,0,0,0
1,35,18,1,0,0,0
0,30,18,0,0,0,1
1,42,18,1,0,0,0
1,37,18,1,0,0,0
